"","DATE","hw","prix_prod","pce","Variation_pce","Variation_prix_prod","Variation_hw","U_gap","U_gap_lag1","hw_lag1","pce_lag1","U_gap_lag2","hw_lag2","pce_lag2","U_gap_lag3","hw_lag3","pce_lag3","U_gap_lag4","hw_lag4","pce_lag4","U_gap_lag5","hw_lag5","pce_lag5","U_gap_lag6","hw_lag6","pce_lag6","U_gap_lag7","hw_lag7","pce_lag7","U_gap_lag8","hw_lag8","pce_lag8","Variation_pce_shifted","prix_prod_lag1","prix_prod_lag2","prix_prod_lag3","prix_prod_lag4","prix_prod_lag5","prix_prod_lag6","prix_prod_lag7","prix_prod_lag8","Variation_pp_shifted"
"75",1995-07-01,20.0969550457772,77.085209657907,79.4816404082855,0.523162966682178,0.185211023221443,0.688766439627253,0.306377168772057,0.413098059831524,0.80557689734857,0.065501222026243,0.618825722288648,0.400314798788837,0.221012192868897,0.923560156143438,0.893454081596312,0.128889601580084,1.13073986722822,0.494544048713053,0.224969839456768,1.240364855543,-0.0617846748688589,0.2114652764448,1.15243512108777,0.188450529017903,0.209698594966645,0.966950663862548,0.229961056188244,0.304087790780527,0.684510615427671,0.0598921312651379,0.210155751080476,-0.251638121189113,0.366404541405041,0.35658115559134,0.596280079668521,0.289469445633439,0.160587407807933,0.0540145919434298,0.180989186971425,0.135815880008416,0.291303577156343
"76",1995-10-01,20.1753732780424,77.1804174085329,79.8339963656009,0.443317419602063,0.123509751155138,0.390199570465222,0.398663049110246,0.306377168772057,0.688766439627253,0.523162966682178,0.413098059831524,0.80557689734857,0.065501222026243,0.618825722288648,0.400314798788837,0.221012192868897,0.923560156143438,0.893454081596312,0.128889601580084,1.13073986722822,0.494544048713053,0.224969839456768,1.240364855543,-0.0617846748688589,0.2114652764448,1.15243512108777,0.188450529017903,0.209698594966645,0.966950663862548,0.229961056188244,0.304087790780527,-0.464571184861673,0.185211023221443,0.366404541405041,0.35658115559134,0.596280079668521,0.289469445633439,0.160587407807933,0.0540145919434298,0.180989186971425,0.183847007407212
"77",1996-01-01,20.3503634635637,77.4380869536965,80.3108332689186,0.597285523743563,0.33385352634161,0.867345466722025,0.68995570084609,0.398663049110246,0.390199570465222,0.443317419602063,0.306377168772057,0.688766439627253,0.523162966682178,0.413098059831524,0.80557689734857,0.065501222026243,0.618825722288648,0.400314798788837,0.221012192868897,0.923560156143438,0.893454081596312,0.128889601580084,1.13073986722822,0.494544048713053,0.224969839456768,1.240364855543,-0.0617846748688589,0.2114652764448,1.15243512108777,0.188450529017903,0.209698594966645,-0.213753073104994,0.123509751155138,0.185211023221443,0.366404541405041,0.35658115559134,0.596280079668521,0.289469445633439,0.160587407807933,0.0540145919434298,-0.0427373846566326
"78",1996-04-01,20.4987736127698,77.4784183911301,80.6476345760968,0.419372198580548,0.0520821717326259,0.729275177182043,0.882562881202249,0.68995570084609,0.867345466722025,0.597285523743563,0.398663049110246,0.390199570465222,0.443317419602063,0.306377168772057,0.688766439627253,0.523162966682178,0.413098059831524,0.80557689734857,0.065501222026243,0.618825722288648,0.400314798788837,0.221012192868897,0.923560156143438,0.893454081596312,0.128889601580084,1.13073986722822,0.494544048713053,0.224969839456768,1.240364855543,-0.0617846748688589,0.2114652764448,0.0551423862647615,0.33385352634161,0.123509751155138,0.185211023221443,0.366404541405041,0.35658115559134,0.596280079668521,0.289469445633439,0.160587407807933,-0.0718699406392465
"79",1996-07-01,20.5892314205442,77.495792038419,80.5423089984646,-0.130599710934876,0.0224238538287347,0.441283998170583,0.976484590178705,0.882562881202249,0.729275177182043,0.419372198580548,0.68995570084609,0.867345466722025,0.597285523743563,0.398663049110246,0.390199570465222,0.443317419602063,0.306377168772057,0.688766439627253,0.523162966682178,0.413098059831524,0.80557689734857,0.065501222026243,0.618825722288648,0.400314798788837,0.221012192868897,0.923560156143438,0.893454081596312,0.128889601580084,1.13073986722822,0.494544048713053,0.224969839456768,-0.0941094422092448,0.0520821717326259,0.33385352634161,0.123509751155138,0.185211023221443,0.366404541405041,0.35658115559134,0.596280079668521,0.289469445633439,-0.1408915945457
"80",1996-10-01,20.6177645733019,77.6306454043158,80.8426542302036,0.372903676929215,0.174013791393901,0.138582894013428,0.971720827775473,0.976484590178705,0.441283998170583,-0.130599710934876,0.882562881202249,0.729275177182043,0.419372198580548,0.68995570084609,0.867345466722025,0.597285523743563,0.398663049110246,0.390199570465222,0.443317419602063,0.306377168772057,0.688766439627253,0.523162966682178,0.413098059831524,0.80557689734857,0.065501222026243,0.618825722288648,0.400314798788837,0.221012192868897,0.923560156143438,0.893454081596312,0.128889601580084,0.518887921515132,0.0224238538287347,0.0520821717326259,0.33385352634161,0.123509751155138,0.185211023221443,0.366404541405041,0.35658115559134,0.596280079668521,-0.178402754319662
"81",1997-01-01,20.7273237854535,77.8576438097843,81.1028461638976,0.321849815758313,0.292408241985243,0.53138259369534,1.06827159399254,0.971720827775473,0.138582894013428,0.372903676929215,0.976484590178705,0.441283998170583,-0.130599710934876,0.882562881202249,0.729275177182043,0.419372198580548,0.68995570084609,0.867345466722025,0.597285523743563,0.398663049110246,0.390199570465222,0.443317419602063,0.306377168772057,0.688766439627253,0.523162966682178,0.413098059831524,0.80557689734857,0.065501222026243,0.618825722288648,0.400314798788837,0.221012192868897,0.922594524162301,0.174013791393901,0.0224238538287347,0.0520821717326259,0.33385352634161,0.123509751155138,0.185211023221443,0.366404541405041,0.35658115559134,-0.054033336115511
"82",1997-04-01,20.8065870854438,78.0216924722384,81.0026767681648,-0.123509100445574,0.210703348350538,0.382409715845067,1.0682752628826,1.06827159399254,0.53138259369534,0.321849815758313,0.971720827775473,0.138582894013428,0.372903676929215,0.976484590178705,0.441283998170583,-0.130599710934876,0.882562881202249,0.729275177182043,0.419372198580548,0.68995570084609,0.867345466722025,0.597285523743563,0.398663049110246,0.390199570465222,0.443317419602063,0.306377168772057,0.688766439627253,0.523162966682178,0.413098059831524,0.80557689734857,0.065501222026243,0.556086903248953,0.292408241985243,0.174013791393901,0.0224238538287347,0.0520821717326259,0.33385352634161,0.123509751155138,0.185211023221443,0.366404541405041,0.368157525490553
"83",1997-07-01,20.8843235286653,78.2489724533679,81.2738908422031,0.334821125497498,0.291303577156343,0.373614581297432,1.07173183444565,1.0682752628826,0.382409715845067,-0.123509100445574,1.06827159399254,0.53138259369534,0.321849815758313,0.971720827775473,0.138582894013428,0.372903676929215,0.976484590178705,0.441283998170583,-0.130599710934876,0.882562881202249,0.729275177182043,0.419372198580548,0.68995570084609,0.867345466722025,0.597285523743563,0.398663049110246,0.390199570465222,0.443317419602063,0.306377168772057,0.688766439627253,0.523162966682178,0.805500742222209,0.210703348350538,0.292408241985243,0.174013791393901,0.0224238538287347,0.0520821717326259,0.33385352634161,0.123509751155138,0.185211023221443,0.448699412663545
"84",1997-10-01,20.9513514880275,78.3928308475503,81.4866978916075,0.261839376950257,0.183847007407212,0.320948673631571,0.878641308681678,1.07173183444565,0.373614581297432,0.334821125497498,1.0682752628826,0.382409715845067,-0.123509100445574,1.06827159399254,0.53138259369534,0.321849815758313,0.971720827775473,0.138582894013428,0.372903676929215,0.976484590178705,0.441283998170583,-0.130599710934876,0.882562881202249,0.729275177182043,0.419372198580548,0.68995570084609,0.867345466722025,0.597285523743563,0.398663049110246,0.390199570465222,0.443317419602063,0.740566366029416,0.291303577156343,0.210703348350538,0.292408241985243,0.174013791393901,0.0224238538287347,0.0520821717326259,0.33385352634161,0.123509751155138,0.649605283367238
